domain,domain_in_reference_corpus,registration_object_basis,standard_registrable_domain,standard_public_suffix_model_match,sources_observed_json,source_outcomes_json,source_outcome_ids_json,rdap_record_variant_count,whois_record_variant_count,registry_ids_observed_json,status_codes_observed_json,status_values_by_source_json,nameservers_observed_json,registrars_observed_json,registration_dates_json,expiration_dates_json,last_changed_dates_json,dnssec_json,protocol_conformance_observed_json,has_cross_source_conflict,cross_source_conflict_fields_json
alhabbari.com.ye,true,authoritative_record,alhabbari.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D18-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""sah1.ye"",""registry_handles_observed"":[""H1-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""sah2.ye"",""registry_handles_observed"":[""H4-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""sah3.ye"",""registry_handles_observed"":[""H227-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Y.Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R1-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhadatha.com.ye,true,authoritative_record,alhadatha.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D395-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhajajigroup.ye,true,authoritative_record,alhajajigroup.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D1691-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2024-11-27T08:30:52.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-11-27T08:31:08.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhajjiexchange.com.ye,true,authoritative_record,alhajjiexchange.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",2,2,"[""D1902-YE""]","[""active"",""add_period""]","{""rdap"":[""active"",""add period""],""whois"":[""addPeriod"",""ok""]}","[{""ldh_name"":""sah1.ye"",""registry_handles_observed"":[""H1-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""sah2.ye"",""registry_handles_observed"":[""H4-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""sah3.ye"",""registry_handles_observed"":[""H227-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Y.Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R1-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2025-09-18T19:30:39.856Z""]","[""2026-09-18T19:30:39.856Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhasel-ti.com.ye,true,authoritative_record,alhasel-ti.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D1472-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2023-08-30T15:53:28.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhashdico.com.ye,true,authoritative_record,alhashdico.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D1820-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2025-05-14T09:48:50.155Z""]","[""2026-05-14T09:48:50.155Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhazmiex1.com.ye,true,authoritative_record,alhazmiex1.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D397-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhezmi.com.ye,true,authoritative_record,alhezmi.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D399-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhitarex.ye,true,authoritative_record,alhitarex.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D1690-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2024-11-27T06:59:42.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-11-27T06:59:55.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
alhubishicenter.com.ye,true,reference_corpus,alhubishicenter.com.ye,true,[],"{""rdap"":[],""whois"":[""no_record""]}","{""rdap"":[],""whois"":[""sha256:6b0e6fbed8c61d3ec7ac86632fe68f39e49050a39b97471f337844ae34ac5625""]}",0,0,[],[],"{""rdap"":[],""whois"":[]}",[],[],[],[],[],"{""delegation_signed_observed"":[],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[],""zone_signed_observed"":[]}",[],false,[]
