source_type,query_name,registrable_domain,outcome,returned_domains_json,outcome_id
whois,rsmyemen.ye,rsmyemen.ye,no_record,[],sha256:178ba6e6f7a3a86c1ddc2b424a7ae477fa37b1b8a7a549fa95b21055c2fc9289
whois,srs-mohe.gov.ye,srs-mohe.gov.ye,no_record,[],sha256:33a7e4148704893fe6d994a6828bdd6cdb6539142b3215b6a90492ab0a2bf52d
whois,tebyan.school.ye,school.ye,different_domain_returned,"[""school.ye""]",sha256:dc296521c07e310563f24bc224f3e481f8abf5bc2dbf71c86379c31da562d120
whois,time.ye,time.ye,unparseable,[],sha256:92b4668562d2a2f2b38f2c6be54bc61638f22bac475d9454e65c3a507c9be880
whois,togetherpharma.com.ye,togetherpharma.com.ye,no_record,[],sha256:04c5e4c77e9a268e55ab812845998cdeb92557b0d1a424f4255ea0201e42bce5
whois,toshiba.com.ye,toshiba.com.ye,unparseable,[],sha256:addb89d4c095f3cfb829ee39fd81b9d7ece0e515a200ff54fa3700ce465b7394
whois,twitter.com.ye,twitter.com.ye,unparseable,[],sha256:e7bf9309c59d88a681488f13aa0997b84d44cd9cad9aafce24465821d79bd5df
whois,un.ye,un.ye,no_record,[],sha256:fb04540436e775ba215c86a9c8c86d1462e80842e6f06d37b2c984fec39e0198
whois,whf.org.ye,whf.org.ye,no_record,[],sha256:ba3fbbbdacb5a97e5cc9467cf649c97c13815c545b39f0ad88b5a519f8c42313
whois,www.almutakamila.ye,almutakamila.ye,different_domain_returned,"[""almutakamila.ye""]",sha256:f10cbe6a34d1b6294f19361671f0547cf3eed0059fbe2301b9dd9eaeccce7f70
whois,www.onyx.ye,onyx.ye,different_domain_returned,"[""onyx.ye""]",sha256:f49214f3b5904afcf5d65c65a4c330d7a7c704a50cbf0505584dcb4db57bd4ac
whois,www.platform.ye,platform.ye,different_domain_returned,"[""platform.ye""]",sha256:129a40a60fc3c899259a4d18247726ab7903dd282822b8645230bed1d3307cac
whois,www.qau.ye,qau.ye,different_domain_returned,"[""qau.ye""]",sha256:550dd50b5f51541f9dc4d752181204ae994080d94eaefd989d46f5bd312d70f5
whois,www.saba.ye,saba.ye,different_domain_returned,"[""saba.ye""]",sha256:ba490ea19cf43e454412e64761989d635d1247c84ac11ea0e35cd917952acca9
whois,yec.com.ye,yec.com.ye,no_record,[],sha256:dc148aa2d91951352539c34753cbe1c49922fd4e6f4bb60f1776b8fabe3b8b41
whois,yellow.ye,yellow.ye,no_record,[],sha256:adbaa11857d0d50fc4335730b2973a08c1f066c7cb87ede2b095e0b8e2ba7da4
whois,yemen.com.ye,yemen.com.ye,unparseable,[],sha256:0cb5833c6e6349db72923728e48e41e2b617bf26c7ef1178d0d4f651c648b714
whois,yemen.gov.ye,yemen.gov.ye,unparseable,[],sha256:4cc78596cd94e2bedd103fced351a73211b8dde73fa059890fdc5d5b317e7f18
whois,yemen.net.ye,yemen.net.ye,unparseable,[],sha256:3291732e6c9133a288870ed6a6b4d065f90f50c9ba7517fae1b1d0e4882a9b66
whois,yemennet.ye,yemennet.ye,no_record,[],sha256:1ce31c3d5649f586fec3ebafc804bf096578daf42d912d8336c718d16eeb3cf3
